ICD9CM,ICD10CM,FLAG
001.0,A00.0,0
001.1,A00.1,0
001.9,A00.9,0
002.0,A01.00,10000
002.1,A01.1,0
002.2,A01.2,0
002.3,A01.3,0
002.9,A01.4,0
003.0,A02.0,0
003.1,A02.1,10000
003.20,A02.20,0
003.21,A02.21,0
003.22,A02.22,0
003.23,A02.23,0
003.24,A02.24,0
003.29,A02.29,10000
003.8,A02.8,0
003.9,A02.9,0
004.0,A03.0,0
004.1,A03.1,0
004.2,A03.2,0
004.3,A03.3,0
004.8,A03.8,0
004.9,A03.9,0
005.0,A05.0,0
005.1,A05.1,0
005.2,A05.2,0
005.3,A05.8,10000
005.4,A05.3,0
005.81,A05.5,0
005.89,A05.4,10000
005.89,A05.8,10000
005.9,A05.9,0
006.0,A06.0,0
006.1,A06.1,0
006.2,A06.2,0
006.3,A06.4,0
006.4,A06.5,0
006.5,A06.6,0
006.6,A06.7,0
006.8,A06.89,10000
006.9,A06.9,0
007.0,A07.0,0
007.1,A07.1,0
007.2,A07.3,0
007.3,A07.8,10000
007.4,A07.2,0
007.5,A07.4,0
007.8,A07.8,10000
007.9,A07.9,0
008.00,A04.4,10000
008.01,A04.0,0
008.02,A04.1,0
008.03,A04.2,0
008.04,A04.3,0
008.09,A04.4,10000
008.1,A04.8,10000
008.2,A04.8,10000
008.3,A04.8,10000
008.41,A04.8,10000
008.42,A04.8,10000
008.43,A04.5,0
008.44,A04.6,0
008.45,A04.71,10000
008.45,A04.72,10000
008.46,A04.8,10000
008.47,A04.8,10000
008.49,A04.8,10000
008.5,A04.9,0
008.61,A08.0,0
008.62,A08.2,0
008.63,A08.11,10000
008.64,A08.19,10000
008.65,A08.31,0
008.66,A08.32,0
008.67,A08.39,10000
008.69,A08.39,10000
008.8,A08.8,10000
009.0,A09,10000
009.1,A09,10000
009.2,A09,10000
009.3,A09,10000
010.00,A15.7,10000
010.01,A15.7,10000
010.02,A15.7,10000
010.03,A15.7,10000
010.04,A15.7,10000
010.05,A15.7,10000
010.06,A15.7,10000
010.10,A15.6,10000
010.11,A15.6,10000
010.12,A15.6,10000
010.13,A15.6,10000
010.14,A15.6,10000
010.15,A15.6,10000
010.16,A15.6,10000
010.80,A15.7,10000
010.81,A15.7,10000
010.82,A15.7,10000
010.83,A15.7,10000
010.84,A15.7,10000
010.85,A15.7,10000
010.86,A15.7,10000
010.90,A15.7,10000
010.91,A15.7,10000
010.92,A15.7,10000
010.93,A15.7,10000
010.94,A15.7,10000
010.95,A15.7,10000
010.96,A15.7,10000
011.00,A15.0,10000
011.01,A15.0,10000
011.02,A15.0,10000
011.03,A15.0,10000
011.04,A15.0,10000
011.05,A15.0,10000
011.06,A15.0,10000
011.10,A15.0,10000
011.11,A15.0,10000
011.12,A15.0,10000
011.13,A15.0,10000
011.14,A15.0,10000
011.15,A15.0,10000
011.16,A15.0,10000
011.20,A15.0,10000
011.21,A15.0,10000
011.22,A15.0,10000
011.23,A15.0,10000
011.24,A15.0,10000
011.25,A15.0,10000
011.26,A15.0,10000
011.30,A15.5,10000
011.31,A15.5,10000
011.32,A15.5,10000
011.33,A15.5,10000
011.34,A15.5,10000
011.35,A15.5,10000
011.36,A15.5,10000
011.40,A15.0,10000
011.41,A15.0,10000
011.42,A15.0,10000
011.43,A15.0,10000
011.44,A15.0,10000
011.45,A15.0,10000
011.46,A15.0,10000
011.50,A15.0,10000
011.51,A15.0,10000
011.52,A15.0,10000
011.53,A15.0,10000
011.54,A15.0,10000
011.55,A15.0,10000
011.56,A15.0,10000
011.60,A15.0,10000
011.61,A15.0,10000
011.62,A15.0,10000
011.63,A15.0,10000
011.64,A15.0,10000
011.65,A15.0,10000
011.66,A15.0,10000
011.70,A15.0,10000
011.71,A15.0,10000
011.72,A15.0,10000
011.73,A15.0,10000
011.74,A15.0,10000
011.75,A15.0,10000
011.76,A15.0,10000
011.80,A15.0,10000
011.81,A15.0,10000
011.82,A15.0,10000
011.83,A15.0,10000
011.84,A15.0,10000
011.85,A15.0,10000
011.86,A15.0,10000
011.90,A15.0,10000
011.91,A15.0,10000
011.92,A15.0,10000
011.93,A15.0,10000
011.94,A15.0,10000
011.95,A15.0,10000
011.96,A15.0,10000
012.00,A15.6,10000
012.01,A15.6,10000
012.02,A15.6,10000
012.03,A15.6,10000
012.04,A15.6,10000
012.05,A15.6,10000
012.06,A15.6,10000
012.10,A15.4,10000
012.11,A15.4,10000
012.12,A15.4,10000
012.13,A15.4,10000
012.14,A15.4,10000
012.15,A15.4,10000
012.16,A15.4,10000
012.20,A15.5,10000
012.21,A15.5,10000
012.22,A15.5,10000
012.23,A15.5,10000
012.24,A15.5,10000
012.25,A15.5,10000
012.26,A15.5,10000
012.30,A15.5,10000
012.31,A15.5,10000
012.32,A15.5,10000
012.33,A15.5,10000
012.34,A15.5,10000
012.35,A15.5,10000
012.36,A15.5,10000
012.80,A15.8,10000
012.81,A15.8,10000
